  Resolution      |CTFsim|    EPA( Ln|F| )    EPA(Ln|F| - Bg)    CCC
   49.104652      0.328973     11.150258       0.156196       1.000000 
   47.988636      0.339394     11.156388       0.162442       1.000000 
   46.922222      0.350012     11.150131       0.156320       1.000000 
   45.902172      0.360821     11.143682       0.149982       1.000000 
   44.925533      0.371818     11.147100       0.153344       1.000000 
   43.989582      0.382998     11.138735       0.145123       1.000000 
   43.091835      0.394355     11.138555       0.144984       1.000000 
   42.230000      0.405884     11.135838       0.142404       1.000000 
   41.401962      0.417580     11.132928       0.139530       1.000000 
   40.605770      0.429436     11.134234       0.140950       1.000000 
   39.839622      0.441446     11.131516       0.138327       1.000000 
   39.101852      0.453604     11.131077       0.137998       1.000000 
   38.390907      0.465902     11.128372       0.135292       1.000000 
   37.705357      0.478334     11.126992       0.134079       1.000000 
   37.043861      0.490891     11.126618       0.133747       1.000000 
   36.405174      0.503567     11.126863       0.134107       1.000000 
   35.788136      0.516353     11.127498       0.134871       1.000000 
   35.191666      0.529239     11.127916       0.135389       1.000000 
   34.614754      0.542218     11.128371       0.135936       1.000000 
   34.056450      0.555280     11.128868       0.136498       1.000000 
   33.515873      0.568415     11.129377       0.137069       1.000000 
   32.992188      0.581612     11.130007       0.137850       1.000000 
   32.484615      0.594862     11.130468       0.138390       1.000000 
   31.992424      0.608154     11.130900       0.138940       1.000000 
   31.514925      0.621476     11.131314       0.139470       1.000000 
   31.051470      0.634816     11.131686       0.139978       1.000000 
   30.601450      0.648163     11.132207       0.140644       1.000000 
   30.164286      0.661503     11.132488       0.141083       1.000000 
   29.739437      0.674825     11.132820       0.141504       1.000000 
   29.326389      0.688113     11.133147       0.141883       1.000000 
   28.924658      0.701356     11.133451       0.142232       1.000000 
   28.533783      0.714538     11.133523       0.142528       1.000000 
   28.153334      0.727645     11.133818       0.142922       1.000000 
   27.782894      0.740661     11.133829       0.143108       1.000000 
   27.422077      0.753572     11.133881       0.143244       1.000000 
   27.070513      0.766361     11.133910       0.143316       1.000000 
   26.727848      0.779012     11.133624       0.143335       1.000000 
   26.393749      0.791508     11.133579       0.143406       1.000000 
   26.067902      0.803833     11.133279       0.143277       1.000000 
   25.750000      0.815967     11.132965       0.143094       1.000000 
   25.439758      0.827895     11.132527       0.142831       1.000000 
   25.136906      0.839597     11.132090       0.142486       1.000000 
   24.841177      0.851054     11.131674       0.142185       1.000000 
   24.552326      0.862248     11.130940       0.141672       1.000000 
   24.270115      0.873159     11.130177       0.141095       1.000000 
   23.994318      0.883768     11.129347       0.140427       1.000000 
   23.724720      0.894054     11.128407       0.139687       1.000000 
   23.461111      0.903997     11.127365       0.138860       1.000000 
   23.203297      0.913577     11.126377       0.138031       1.000000 
   22.951086      0.922772     11.125154       0.137023       1.000000 
   22.704302      0.931562     11.123871       0.135915       1.000000 
   22.462767      0.939925     11.122465       0.134735       1.000000 
   22.226316      0.947839     11.120974       0.133444       1.000000 
   21.994791      0.955283     11.119447       0.132159       1.000000 
   21.768042      0.962235     11.117767       0.130690       0.988421 
   21.545918      0.968673     11.115971       0.129121       0.974838 
   21.328283      0.974575     11.114087       0.127456       0.959185 
   21.115000      0.979919     11.112253       0.125682       0.941471 
   20.905941      0.984683     11.110234       0.123919       0.921826 
   20.700981      0.988845     11.108113       0.121959       0.900488 
   20.500000      0.992382     11.105703       0.119894       0.877807 
   20.302885      0.995274     11.103360       0.117727       0.854256 
   20.109524      0.997497     11.100911       0.115460       0.830361 
   19.919811      0.999032     11.098341       0.113197       0.806695 
   19.733644      0.999855     11.095687       0.110717       0.783819 
   19.550926      0.999947     11.092805       0.108143       0.762255 
   19.371559      0.999287     11.089973       0.105467       0.742708 
   19.195454      0.997854     11.086946       0.102707       0.725305 
   19.022522      0.995629     11.083797       0.099868       0.710262 
   18.852678      0.992592     11.080677       0.096993       0.697657 
   18.685841      0.988724     11.077329       0.093954       0.687444 
   18.521931      0.984008     11.073959       0.090818       0.679465 
   18.360870      0.978425     11.070509       0.087620       0.673477 
   18.202587      0.971959     11.066879       0.084330       0.669176 
   18.047009      0.964594     11.063303       0.081046       0.673616 
   17.894068      0.956315     11.059518       0.077597       0.677413 
   17.743698      0.947107     11.055723       0.074076       0.680382 
   17.595833      0.936958     11.051918       0.070522       0.682595 
   17.450413      0.925855     11.047969       0.066888       0.684119 
   17.307377      0.913787     11.044103       0.063290       0.685026 
   17.166666      0.900744     11.040072       0.059547       0.685388 
   17.028225      0.886717     11.035994       0.055778       0.685257 
   16.892000      0.871700     11.031772       0.051981       0.684698 
   16.757936      0.855686     11.027770       0.048159       0.683766 
   16.625984      0.838671     11.023614       0.044311       0.682522 
   16.496094      0.820651     11.019558       0.040520       0.681160 
   16.368217      0.801626     11.015392       0.036654       0.679443 
   16.242308      0.781596     11.011183       0.032784       0.677620 
   16.118320      0.760562     11.007202       0.028934       0.675727 
   15.996212      0.738529     11.003068       0.025090       0.673797 
   15.875940      0.715502     10.999033       0.021342       0.671862 
   15.757463      0.691489     10.994766       0.017529       0.669953 
   15.640740      0.666499     10.990786       0.013787       0.668099 
   15.525735      0.640545     10.986729       0.010079       0.666326 
   15.412409      0.613639     10.982627       0.006438       0.664738 
   15.300725      0.585798     10.978766       0.002931       0.663093 
   15.190647      0.557040     10.975090      -0.000567       0.661640 
   15.082143      0.527384     10.971321      -0.003965       0.660388 
   14.975178      0.496855     10.967683      -0.007279       0.659346 
   14.869719      0.465476     10.964166      -0.010464       0.658518 
   14.765735      0.433274     10.960685      -0.013534       0.657908 
   14.663195      0.400280     10.957431      -0.016421       0.657521 
   14.562069      0.366527     10.954288      -0.019217       0.657359 
   14.462329      0.332047     10.951379      -0.021875       0.657420 
   14.363946      0.296880     10.948460      -0.024352       0.657701 
   14.266891      0.261063     10.945918      -0.026669       0.658110 
   14.171141      0.224639     10.943428      -0.028755       0.658762 
   14.076667      0.187654     10.941096      -0.030709       0.659649 
   13.983443      0.150153     10.938946      -0.032479       0.660761 
   13.891447      0.112187     10.937078      -0.034029       0.662088 
   13.800653      0.073807     10.935451      -0.035398       0.663613 
   13.711039      0.035067     10.933941      -0.036515       0.665318 
   13.622581      0.003975     10.932693      -0.037465       0.667180 
   13.535256      0.043260     10.931489      -0.038217       0.669074 
   13.449044      0.082726     10.930535      -0.038742       0.671026 
   13.363924      0.122311     10.929983      -0.039069       0.673098 
